/Library/Python/2.7/site-packages/tensorflow/python/ops/gradients_impl.py:93: UserWarning: Converting sparse IndexedSlices to a dense Tensor of unknown shape. This may consume a large amount of memory.
  "Converting sparse IndexedSlices to a dense Tensor of unknown shape. "
2017-07-20 18:39:28.510923: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-07-20 18:39:28.510950: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
2017-07-20 18:39:28.510958: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
2017-07-20 18:39:28.510964: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
train: (0.083795108, (0.83135837, 0.83176929)) test: SKIP
train: (0.18674615, (0.83176929, 0.83206892)) test: SKIP
train: (0.19423163, (0.83206892, 0.83235657)) test: (0.57423091, (0.83235657, 0.83184582))
train: (0.12734236, (0.83184582, 0.83218527)) test: SKIP
train: (0.27437919, (0.83218527, 0.83244461)) test: SKIP
train: (0.16283402, (0.83244461, 0.83273995)) test: SKIP
train: (0.16361062, (0.83273995, 0.83304131)) test: SKIP
train: (0.17709959, (0.83304131, 0.83337539)) test: SKIP
train: (0.17504624, (0.83337539, 0.83365351)) test: SKIP
train: (0.099759847, (0.83365351, 0.83401692)) test: SKIP
train: (0.13668856, (0.83401692, 0.83432752)) test: SKIP
train: (0.14491141, (0.83432752, 0.83464503)) test: SKIP
train: (0.12596405, (0.83464503, 0.83498305)) test: SKIP
train: (0.15240151, (0.83498305, 0.83529568)) test: SKIP
train: (0.10979418, (0.83529568, 0.83564144)) test: SKIP
train: (0.06196171, (0.83564144, 0.83603078)) test: SKIP
train: (0.13851717, (0.83603078, 0.83634067)) test: SKIP
train: (0.1735006, (0.83634067, 0.83662552)) test: SKIP
train: (0.084118411, (0.83662552, 0.83698744)) test: SKIP
train: (0.090132147, (0.83698744, 0.83735317)) test: SKIP
train: (0.077597976, (0.83735317, 0.83771253)) test: SKIP
train: (0.097348265, (0.83771253, 0.83806068)) test: SKIP
train: (0.15534389, (0.83806068, 0.8383562)) test: (0.64100951, (0.8383562, 0.83666462))
train: (0.11432324, (0.83666462, 0.83699054)) test: SKIP
train: (0.071417123, (0.83699054, 0.83735269)) test: SKIP
train: (0.12971047, (0.83735269, 0.83763611)) test: SKIP
train: (0.078057826, (0.83763611, 0.8379761)) test: SKIP
train: (0.16545071, (0.8379761, 0.83825034)) test: SKIP
train: (0.16972986, (0.83825034, 0.83851498)) test: SKIP
train: (0.11100544, (0.83851498, 0.83884025)) test: SKIP
train: (0.053307086, (0.83884025, 0.8391993)) test: SKIP
train: (0.085922986, (0.8391993, 0.83951581)) test: SKIP
train: (0.097970456, (0.83951581, 0.83983487)) test: SKIP
train: (0.054593354, (0.83983487, 0.84018844)) test: SKIP
train: (0.16671005, (0.84018844, 0.84043473)) test: SKIP
train: (0.12253294, (0.84043473, 0.84073496)) test: SKIP
train: (0.090074211, (0.84073496, 0.8410576)) test: SKIP
train: (0.037980594, (0.8410576, 0.84142345)) test: SKIP
train: (0.15367979, (0.84142345, 0.84173232)) test: SKIP
train: (0.12687598, (0.84173232, 0.84202093)) test: SKIP
train: (0.12063602, (0.84202093, 0.842305)) test: SKIP
train: (0.098605275, (0.842305, 0.84260982)) test: SKIP
train: (0.12220169, (0.84260982, 0.84290516)) test: (0.68269491, (0.84290516, 0.84132892))
train: (0.076455459, (0.84132892, 0.84164935)) test: SKIP
train: (0.052007817, (0.84164935, 0.84198171)) test: SKIP
train: (0.20186627, (0.84198171, 0.84219694)) test: SKIP
train: (0.067328416, (0.84219694, 0.84252423)) test: SKIP
train: (0.13453251, (0.84252423, 0.84278989)) test: SKIP
train: (0.14362471, (0.84278989, 0.843059)) test: SKIP
train: (0.20163146, (0.843059, 0.84330076)) test: SKIP
train: (0.13961506, (0.84330076, 0.84355783)) test: SKIP
train: (0.12246475, (0.84355783, 0.84383279)) test: SKIP
train: (0.10343866, (0.84383279, 0.84412491)) test: SKIP
train: (0.12962371, (0.84412491, 0.84439099)) test: SKIP
train: (0.15318963, (0.84439099, 0.84465545)) test: SKIP
train: (0.075226575, (0.84465545, 0.84496349)) test: SKIP
train: (0.10397175, (0.84496349, 0.84525859)) test: SKIP
